strategy,satisfy
China.Cpa.929_80,0
China.CSI300.A1500s,1
China.CSI300.Id007032,0
Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArbAll2,0
Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArbAll2N,1
Cn.All.60.PairX(CalArb)@CnFutures.Id807035.BDX,0
Cn.All.60.PairX(CalArb)@CnFutures.Id807035.CalArb,0
Cn.All.60B.PairX(MFA)@Cn.Id807012.CnComV4L1,0
Cn.All.60B.PairX(MFA)@Cn.Id807012.CnLmeAllL1N,0
Cn.All.60B.PairX(MFA)@Cn.Id807015.MFA_CnComV6,0
Cn.All.60B.PairX(MFA)@Cn.Id807032.MFA_T0_A,0
Cn.All.60B.PairX(MFA)@Cn.Id807032.MFA_T0_C,0
Cn.All.60B.PairX(MFA)@Cn.Id807032.MFA_T0_M,0
Cn.All.60B.PairX(MFA)@Cn.Id807032.MFA_T1_CSI500,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_B2123,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_A,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_B,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_C,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_M,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_B,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_C,0
Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_M,0
Cn.All.60B.PairX(MFA)@Cn.Id807048.IcStkAll_T1L1,1
Cn.All.60B.PairX(MFA)@CnCom.Id807012.BuFu3_V5L1,0
Cn.All.60B.PairX(MFA)@CnCom.Id807012.BuFu3_V5L1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807012.CnOilSL1N,0
Cn.All.60B.PairX(MFA)@CnCom.Id807038.Adv_All_V6,0
Cn.All.60B.PairX(MFA)@CnCom.Id807038.MFA_All_V6,0
Cn.All.60B.PairX(MFA)@CnCom.Id807044.All_V6_L1,1
